,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
0,89.0,164590,9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,Milwaukee,nan,53463.0,3.11,Executive Director,349718.0,90.56,111522,1350382,Human and Civil Rights : Advocacy and Education ,49634.0,89.75,0,1440463,WI,1999023
1,86.0,1001560,'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,Hilo,nan,73500.0,1.47,Executive Director,1175965.0,85.92,54613,14773920,Education : Early Childhood Programs and Services ,382540.0,85.95,0,3912270,HI,3339358
2,85.0,93957,AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,New York,nan,85000.0,0.99,Executive Director,-461502.0,77.65,248833,-770370,International : Development and Relief Services ,0.0,80.96,0,8157850,NY,8039138
3,86.0,346867,Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169,Brooklyn,nan,61220.0,0.78,Acting Executive Director,1872733.0,97.5,384550,11460087,"Education : Scholarship and Financial Support , ",-81726.0,89.94,0,7018262,NY,9704138
4,97.0,135195,Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080,Temecula,nan,74244.0,5.41,President,-103940.0,87.08,87436,723772,Religion : Religious Activities ,32436.0,90.62,0,1148407,CA,1234662
5,100.0,505751,Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436,San Francisco,nan,312498.0,2.85,President & Founder,1931497.0,93.14,377933,40621685,Human and Civil Rights : Advocacy and Education ,320916.0,95.14,0,10059539,CA,12355178
6,89.0,103173,Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467,Stone Mountain,nan,85665.0,7.27,Executive Director,-126216.0,99.94,49542,3579208,Community Development : Housing and Neighborhood Development ,-13057.0,92.22,33556,1024283,GA,536485
7,100.0,663845,Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974,Gaithersburg,nan,154999.0,6.01,Executive Director,-294094.0,79.94,218404,7474607,Environment : Environmental Protection and Conservation ,101537.0,85.81,0,1695556,MD,2170503
8,100.0,77155,"It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793,Atlanta,nan,110110.0,7.36,Executive Director,107849.0,89.98,76939,808446,"Health : Medical Research , ",10299.0,92.91,0,1340579,GA,1473462
9,89.0,200643,Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427,Bellevue,nan,98048.0,5.89,Executive Director,-59227.0,78.66,238249,1173256,"Education : Scholarship and Financial Support , ",29857.0,83.02,0,1225020,WA,1574828
