accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
89.00,"$164,590",9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961, ' Milwaukee,,"$53,463",3.11%,Executive Director,"$349,718",90.56,"$111,522","$1,350,382",Human and Civil Rights : Advocacy and Education ,"$49,634",89.75,$0,"$1,440,463",WI,"$1,999,023"
86.00,"$1,001,560",'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012, '\r\n\t\t\tHilo,,"$73,500",1.47%,Executive Director,"$1,175,965",85.92,"$54,613","$14,773,920",Education : Early Childhood Programs and Services ,"$382,540",85.95,$0,"$3,912,270",HI,"$3,339,358"
85.00,"$93,957",AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185, ' New York,,"$85,000",0.99%,Executive Director,"$-461,502",77.65,"$248,833","$-770,370",International : Development and Relief Services ,$0,80.96,$0,"$8,157,850",NY,"$8,039,138"
86.00,"$346,867",Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169, '\r\n\t\t\tBrooklyn,,"$61,220",0.78%,Acting Executive Director,"$1,872,733",97.50,"$384,550","$11,460,087","Education : Scholarship and Financial Support , ","$-81,726",89.94,$0,"$7,018,262",NY,"$9,704,138"
97.00,"$135,195",Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080, ' Temecula,,"$74,244",5.41%,President,"$-103,940",87.08,"$87,436","$723,772",Religion : Religious Activities ,"$32,436",90.62,$0,"$1,148,407",CA,"$1,234,662"
100.00,"$505,751",Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436, '\r\n\t\t\tSan Francisco,,"$312,498",2.85%,President & Founder,"$1,931,497",93.14,"$377,933","$40,621,685",Human and Civil Rights : Advocacy and Education ,"$320,916",95.14,$0,"$10,059,539",CA,"$12,355,178"
89.00,"$103,173",Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467, '\r\n\t\t\tStone Mountain,,"$85,665",7.27%,Executive Director,"$-126,216",99.94,"$49,542","$3,579,208",Community Development : Housing and Neighborhood Development ,"$-13,057",92.22,"$33,556","$1,024,283",GA,"$536,485"
100.00,"$663,845",Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974, '\r\n\t\t\tGaithersburg,,"$154,999",6.01%,Executive Director,"$-294,094",79.94,"$218,404","$7,474,607",Environment : Environmental Protection and Conservation ,"$101,537",85.81,$0,"$1,695,556",MD,"$2,170,503"
100.00,"$77,155","It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793, ' Atlanta,,"$110,110",7.36%,Executive Director,"$107,849",89.98,"$76,939","$808,446","Health : Medical Research , ","$10,299",92.91,$0,"$1,340,579",GA,"$1,473,462"
89.00,"$200,643",Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427, '\r\n\t\t\tBellevue,,"$98,048",5.89%,Executive Director,"$-59,227",78.66,"$238,249","$1,173,256","Education : Scholarship and Financial Support , ","$29,857",83.02,$0,"$1,225,020",WA,"$1,574,828"
93.00,"$611,779",Hydrocephalus Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11367, ' Bethesda,,"$200,000",5.02%,CEO,"$714,966",84.82,"$562,998","$3,645,570","Health : Diseases, Disorders, and Disciplines ","$47,177",88.17,$0,"$2,805,884",MD,"$4,595,007"
85.00,"$177,985",Hyde Park Art Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15747, '\r\n\t\t\tChicago,,None reported\r\n                 ,--\r\n                 ,,"$-91,315",90.27,"$255,073","$6,368,885","Arts, Culture, Humanities : Museums ","$3,505",87.35,$0,"$1,728,407",IL,"$1,287,542"
89.00,"$359,125",The Hyde Collection,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11456, '\r\n\t\t\tGlens Falls,,"$73,138",4.14%,Director,"$2,131,553",81.78,"$184,263","$24,114,195","Arts, Culture, Humanities : Museums ","$718,853",84.95,$0,"$1,222,660",NY,"$3,051,056"
89.00,"$168,553",Huntsville Symphony Orchestra,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14797, ' Huntsville,,"$82,500",4.51%,"President, CEO","$-3,753",75.39,"$147,873","$131,009","Arts, Culture, Humanities : Performing Arts ","$30,692",80.93,$0,"$1,512,485",AL,"$1,044,160"
100.00,"$940,855",Huntington's Disease Society of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13075, ' New York,,"$264,026",3.28%,Chief Executive Officer,"$537,310",87.34,"$853,135","$4,553,274","Health : Diseases, Disorders, and Disciplines ","$16,889",91.04,$0,"$6,247,620",NY,"$8,562,031"
100.00,"$119,743",Huron River Watershed Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16855, ' Ann Arbor,,"$104,945",6.73%,Executive Director,"$29,518",91.90,"$136,818","$1,028,525",Environment : Environmental Protection and Conservation ,"$4,345",94.27,$0,"$1,302,535",MI,"$1,063,890"
89.00,"$83,378",Byrnes Health Education Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12426, '\r\n\t\t\tYork,,"$89,280",7.86%,"President, CEO","$-22,834",83.80,"$162,845","$5,209,352",Health : Treatment and Prevention Services ,"$140,551",86.15,$0,"$888,514",PA,"$809,534"
89.00,"$548,733",Huntsville Botanical Garden,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17198, '\r\n\t\t\tHuntsville,,"$151,680",4.51%,CEO,"$7,440,415",90.95,"$98,906","$18,192,084","Environment : Botanical Gardens, Parks, and Nature Centers ","$248,250",89.92,$0,"$2,712,221",AL,"$10,103,153"
81.00,"$204,621",Huntsville Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14766, '\r\n\t\t\tHuntsville,,"$150,988",6.53%,Executive Director,"$66,429",73.91,"$344,880","$97,615","Arts, Culture, Humanities : Museums ","$26,406",77.17,$0,"$1,760,358",AL,"$1,985,118"
93.00,"$18,026,507",Cystic Fibrosis Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9142, ' Bethesda,,"$496,970",0.19%,"President, CEO","$-44,527,665",97.35,"$18,419,757","$3,679,424,528","Health : Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations:","$89,274,989",94.70,$0,"$221,903,338",MD,"$122,210,533"
85.00,"$68,569",Curious Theatre Company,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13445, '\r\n\t\t\tDenver,,None reported\r\n                 ,--\r\n                 ,,"$74,817",74.60,"$134,783","$584,693","Arts, Culture, Humanities : Performing Arts ","$-11,920",79.14,$0,"$1,000,940",CO,"$861,035"
100.00,"$336,234",Cure SMA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12524, '\r\n\t\t\tElk Grove Village,,"$182,099",2.40%,President,"$307,259",78.20,"$1,009,256","$2,695,113","Health : Diseases, Disorders, and Disciplines ","$673,000",84.58,$0,"$6,220,527",IL,"$5,818,435"
96.00,"$385,923",CurePSP,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9827, ' New York,,"$193,846",6.14%,President,"$71,600",86.36,"$522,075","$2,226,006",Health : Medical Research ,"$2,965",89.94,$0,"$2,244,223",NY,"$3,119,335"
100.00,"$838,660",CURE International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5545, '\r\n\t\t\tNew Cumberland,,"$168,480",0.24%,"President, CEO","$-14,162,177",92.50,"$3,327,969","$102,655,210",International : Development and Relief Services ,"$707,769",94.69,$0,"$65,695,537",PA,"$23,035,192"
82.00,"$416,919",Dégagé Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604, '\r\n\t\t\tGrand Rapids,,"$72,079",3.89%,Executive Director,"$-27,245",89.50,"$63,375","$2,144,882",Human Services : Homeless Services ,"$-24,976",85.26,$0,"$1,371,628",MI,"$1,737,373"
100.00,"$152,412",Cystinosis Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12069, '\r\n\t\t\tIrvine,,,--\r\n                 ,Chair,"$1,820,010",86.88,"$600,799","$4,522,420","Health : Medical Research , ","$38,599",90.72,$0,"$2,284,337",CA,"$4,818,959"
100.00,"$124,005",dZi Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599, ' Ridgway,,"$77,762",6.09%,President,"$166,629",94.64,"$164,621","$2,000,106",International : Development and Relief Services ,"$-10,572",96.20,$0,"$987,277",CO,"$1,453,104"
96.00,"$77,735",Dystrophic Epidermolysis Bullosa Research Association of America (debra of America),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965, ' New York,,"$153,012",9.46%,Executive Director,"$-8,398",94.71,"$169,908","$2,775,860","Health : Diseases, Disorders, and Disciplines ","$857,985",95.31,$0,"$1,368,684",NY,"$749,944"
100.00,"$552,261",CuriOdyssey,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12769, '\r\n\t\t\tSan Mateo,,"$147,578",3.37%,Executive Director,"$2,682,302",81.16,"$1,052,723","$15,706,277","Arts, Culture, Humanities : Museums ","$603,495",86.67,$0,"$2,769,811",CA,"$5,578,134"
100.00,"$163,132",Dystonia Medical Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640, ' Chicago,,"$144,894",5.86%,Executive Director,"$2,655,471",83.97,"$268,624","$4,434,900",Health : Medical Research ,"$15,833",88.66,$0,"$2,038,421",IL,"$5,109,815"
89.00,"$201,970",24 Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235, ' Charlotte,,"$69,731",2.25%,Executive Director,"$-928,932",80.00,"$144,269","$-427,225",Health : Medical Research ,"$7,134",83.85,$0,"$2,741,091",NC,"$1,999,290"
100.00,"$1,418,750",Dumb Friends League,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610, '\r\n\t\t\tDenver,,"$302,320",1.64%,President,"$-1,551,599",89.94,"$2,463,940","$70,125,179","Animals : Animal Rights, Welfare, and Services ","$2,788,674",92.88,$0,"$14,526,815",CO,"$12,195,279"
100.00,"$1,337,698",Durham Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985, '\r\n\t\t\tDurham,,"$148,024",0.71%,Chief Executive Officer,"$-8,027,987",100.00,"$574,279","$15,582,886",Human Services : Homeless Services ,"$4,340,235",100.00,$0,"$18,843,152",NC,"$7,897,648"
93.00,"$462,033",Dutchess County SPCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764, '\r\n\t\t\tHyde Park,,"$41,686",1.90%,Former Executive Director,"$-673,663",86.19,"$113,929","$6,009,181","Animals : Animal Rights, Welfare, and Services ","$258,802",89.05,$0,"$1,609,406",NY,"$748,227"
100.00,"$102,716",DuPage PADS,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278, '\r\n\t\t\tWheaton,,"$131,808",3.51%,Executive Director,"$390,812",82.83,"$558,415","$2,600,177",Human Services : Homeless Services ,"$-57,347",87.85,$0,"$3,085,564",IL,"$4,045,611"
78.00,"$267,388",DuPage Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735, '\r\n\t\t\tNaperville,,"$120,672",2.97%,"President, CEO","$353,973",81.13,"$330,570","$3,602,916","Arts, Culture, Humanities : Museums ","$1,325,508",79.50,$0,"$3,463,609",IL,"$1,303,678"
96.00,"$6,146,668",Ducks Unlimited,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631, '\r\n\t\t\tMemphis,,"$511,842",0.25%,Chief Executive Officer,"$28,422,623",84.07,"$37,813,823","$195,923,938","Animals : Wildlife Conservation ,This rating represents consolidated financial data for these organizations:","$24,159,550",88.38,$0,"$159,565,880",TN,"$207,789,444"
