Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2018,Edward Bass,Texas,"Family wealth, Finance","Yale Peabody Museum of Natural History (New Haven, Conn.)",Connecticut,Colleges and universities,Gift,"$160,000,000 "
2018,Paul Allen,Washington,Technology,Allen Institute for Artificial Intelligence (Seattle),Washington,Science,Pledge,"$125,000,000 "
2018,Anschutz Foundation (Philip Anschutz),Colorado,"Professional Sports, Real estate","U. of Colorado, Anschutz Medical Campus (Denver)",Colorado,Colleges and universities,Gift,"$120,000,000 "
2018,Richard and Susan Rogel,Colorado,"Health care, Investments",U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Pledge,"$110,000,000 "
2018,T. Denny Sanford,South Dakota,Finance,"National U., Sanford Education Center (San Diego)",California,Colleges and universities,Gift,"$100,000,000 "
2018,David and Rita Nelson,Wisconsin,Media and entertainment,"Community Foundation for the Fox Valley Region (Appleton, Wis.)",Wisconsin,Community foundations,Bequest,"$100,000,000 "
2018,Robert and Nancy Carney,Texas,Media and entertainment,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,Gift,"$100,000,000 "
2018,Anonymous,,,Amherst College (Mass.),Massachusetts,Colleges and universities,GiftChallenge,"$100,000,000 "
2018,Shelby Davis,Wyoming,Finance,"United World College (Montezuma, N.M.)",New Mexico,Colleges and universities,Pledge,"$100,000,000 "
2018,Paul Rady,Colorado,Oil,Western State Colorado University (Gunnison),Colorado,Colleges and universities,Gift,"$80,000,000 "
2018,William Miller III,Maryland,Finance,Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,Gift,"$75,000,000 "
2018,Kinder Foundation (Richard and Nancy Kinder),Texas,Energy,Memorial Park Conservancy (Houston),Texas,Other groups,Pledge,"$70,000,000 "
2018,Sheldon and Miriam Adelson,Nevada,Hotels,Birthright Israel Foundation (New York),New York,Religious groups,Pledge,"$70,000,000 "
2018,Bruce Leven,Washington,Retail,Seattle Children's,Washington,Health,Bequest,"$60,000,000 "
2018,Winiarski Family Foundation (Warren and Barbara Winiarski),California,Food and beverage,St. John's College (Md.),Maryland,Colleges and universities,PledgeChallengeMatching,"$50,000,000 "
2018,Anonymous,,,Amherst College (Mass.),Massachusetts,Colleges and universities,Gift,"$50,000,000 "
2018,Jeanne and Rex Sinquefield,Missouri,Finance,Saint Louis U.,Missouri,Colleges and universities,Gift,"$50,000,000 "
2018,Andrew J. Viterbi,California,Technology,U. of California at San Diego,California,Colleges and universities,Gift,"$50,000,000 "
2018,Harry and Linda Fath,Ohio,"Professional Sports, Real estate",Cincinnati Zoo & Botanical Garden,Ohio,Zoos and aquariums,PledgeChallenge,"$50,000,000 "
2018,Harry and Linda Fath,Ohio,"Professional Sports, Real estate","Mercy Ships (Garden Valley, Tex.)",Texas,Health,Pledge,"$50,000,000 "
2018,Craig and Janet Duchossois,Illinois,"Manufacturing, Professional Sports",Art Institute of Chicago,Illinois,Colleges and universities,GiftUnrestricted,"$50,000,000 "
2018,Smidt Foundation (Eric and Susan Smidt),California,Retail,Cedars-Sinai Medical Center (Los Angeles),California,Health,Gift,"$50,000,000 "
2018,Brian Acton,California,Technology,Signal Foundation (San Francisco),California,Other groups,Gift,"$50,000,000 "
2018,Samuel and Ann Mencoff,Illinois,Finance,"Brown U., Warren Alpert Medical School (Providence, R.I.)",Rhode Island,Colleges and universities,Gift,"$50,000,000 "
2018,Ernest and Evelyn Rady,California,Real estate,San Diego Salvation Army,California,Human and social services,Gift,"$50,000,000 "
2018,Gary Carlson,California,Health care,Oregon State U. (Corvallis),Oregon,Colleges and universities,Gift,"$50,000,000 "
2018,Robert Hale Jr. and Karen Hale,Massachusetts,Telecommunications,Boston Children's Hospital,Massachusetts,Health,Gift,"$50,000,000 "
2018,Robert Hale Jr. and Karen Hale,Massachusetts,Telecommunications,Brigham and Women's Hospital (Boston),Massachusetts,Health,GiftUnrestricted,"$50,000,000 "
2018,William K. Bowes Jr. Foundation (Ute Bowes),California,"Finance, Pharmaceuticals",San Francisco Conservatory of Music,California,Arts,Gift,"$46,400,000 "
2018,Gary and Kathleen Rollins,Georgia,Chemicals,U. of Tennessee at Chattanooga,Tennessee,Colleges and universities,Gift,"$40,000,000 "
2018,Raymond Suckling,Pennsylvania,Investments,Pittsburgh Foundation,Pennsylvania,Community foundations,Bequest,"$37,100,000 "
2018,Richard and Melanie Lundquist,California,Real estate,Partnership for Los Angeles Schools,California,Education,Gift,"$35,000,000 "
2018,Jeff and MacKenzie Bezos,Washington,"Retail, Technology","TheDream.US (Arlington, Va.)",Virginia,Colleges and universities,Gift,"$33,000,000 "
2018,Robert Katz and Elana Amsterdam,Colorado,Hotels,"Katz Amsterdam Charitable Fund (Broomfield, Colo.)",Colorado,Foundations,Gift,"$31,103,250 "
2018,David Dafoe,Kentucky,Food and beverage,"Miami U. (Oxford, Ohio)",Ohio,Colleges and universities,Pledge,"$30,100,000 "
2018,Edward Minskoff,New York,Real estate,Michigan State U. (East Lansing),Michigan,Colleges and universities,Gift,"$30,000,000 "
2018,Derick Springsteen Close,South Carolina,"Manufacturing, Professional Sports","Foundation for the Carolinas (Charlotte, N.C.)",North Carolina,Community foundations,Gift,"$30,000,000 "
2018,Anonymous,,,"United Lutheran Seminary (Gettyburg, Pa.)",Pennsylvania,Colleges and universities,Gift,"$30,000,000 "
2018,Ronald and Terri Weinberg,Ohio,Finance,Cleveland Clinic,Ohio,Health,Pledge,"$30,000,000 "
2018,Mark Zuckerberg and Priscilla Chan,California,Technology,"Harvard U. (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$30,000,000 "
2018,Richard Krupp,California,Real estate,U. of California at San Diego,California,Colleges and universities,Bequest,"$30,000,000 "
2018,Stewart and Lynda Resnick,California,"Agriculture, Food and beverage, Investments","U. of California at Los Angeles, Hammer Museum",California,Colleges and universities,Gift,"$30,000,000 "
2018,T. Denny Sanford,South Dakota,Finance,"Horatio Alger Association of Distinguished Americans (Alexandria, Va.)",Virginia,Colleges and universities,Gift,"$30,000,000 "
2018,Bren Simon,Indiana,Real estate,"Great American Songbook Foundation (Carmel, Ind.)",Indiana,Arts,GiftNoncash,"$30,000,000 "
2018,Hugh Culverhouse Jr. and Eliza Culverhouse,Florida,Real estate,U. of Alabama School of Law (Tuscaloosa),Alabama,Colleges and universities,Pledge,"$25,000,000 "
2018,William A. and Carolyn Franke,Arizona,Finance,"Mayo Clinic School of Medicine (Scottsdale, Ariz.)",Arizona,Health,Gift,"$25,000,000 "
2018,Lee and Ramona Bass,Texas,"Family wealth, Oil",Vanderbilt U. (Nashville),Tennessee,Colleges and universities,Gift,"$25,000,000 "
2018,Kenneth Panzer and Jordan Kaplan,California,Real estate,U. of California at Los Angeles,California,Colleges and universities,Gift,"$25,000,000 "
2018,Bluhm Family Charitable Foundation (Neil Bluhm),Illinois,Real estate,Northwestern Medicine (Chicago),Illinois,Health,Gift,"$25,000,000 "
