Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2017,Mark Zuckerberg and Priscilla Chan,California,Technology,"Chan Zuckerberg Foundation (Palo Alto, Calif.)",California,Foundations,Gift,"$1,856,575,000 "
2017,Michael S. and Susan Dell,Texas,Technology,"Michael & Susan Dell Foundation (Austin, Tex.)",Texas,Foundations,Gift,"$1,000,000,000 "
2017,Henry L. Hillman,Pennsylvania,Family wealth,Hillman Family Foundation (Pittsburgh),Pennsylvania,Foundations,Bequest,"$800,000,000 "
2017,Herbert and Florence Irving,New York,Food and beverage,"Columbia U., Herbert and Florence Irving Medical Center (New York)",New York,Health,Gift,"$600,000,000 "
2017,Helen Diller Foundation (Helen Diller),,Real estate,U. of California at San Francisco,California,Colleges and universities,UnrestrictedBequest,"$500,000,000 "
2017,Roy and Diana Vagelos,New Jersey,Pharmaceuticals,Columbia U. College of Physicians and Surgeons (New York),New York,Colleges and universities,Gift,"$250,000,000 "
2017,A. James and Alice B. Clark Charitable Foundation (Alice B. Clark),Maryland,Construction,U. of Maryland at College Park,Maryland,Colleges and universities,Gift,"$219,500,000 "
2017,Henry and Susan Samueli,California,Technology,U. of California at Irvine,California,Colleges and universities,Gift,"$200,000,000 "
2017,Mark Zuckerberg and Priscilla Chan,California,Technology,"Silicon Valley Community Foundation (Mountain View, Calif.)",California,Community foundations,Gift,"$162,369,200 "
2017,Larry and Beth Gies,Illinois,Finance,U. of Illinois at Urbana-Champaign,Illinois,Colleges and universities,GiftUnrestricted,"$150,000,000 "
2017,David Geffen,California,Entertainment,Los Angeles County Museum of Art,California,Arts,Pledge,"$150,000,000 "
2017,Anonymous,,,Massachusetts Institute of Technology (Cambridge),Massachusetts,Colleges and universities,Unrestricted,"$140,000,000 "
2017,Kenneth C. Griffin Charitable Fund (Kenneth Griffin),Illinois,Finance,U. of Chicago,Illinois,Colleges and universities,Gift,"$125,000,000 "
2017,David Rockefeller,New York,Family wealth,Museum of Modern Art (New York),New York,Arts,Bequest,"$125,000,000 "
2017,Jay Shidler,Hawaii,Real estate,U. of Hawaii at Manoa,Hawaii,Colleges and universities,GiftNoncash,"$117,000,000 "
2017,Ray and Dagmar Dolby,California,Technology,U. of Cambridge (United Kingdom),,Colleges and universities,Gift,"$114,121,850 "
2017,William and Linda Frost,,Manufacturing,California Polytechnic State U. at San Luis Obispo,California,Colleges and universities,,"$110,000,000 "
2017,Roberta Elliott,California,Family wealth,"Montage Health Foundation (Monterey, Calif.)",California,Health,Gift,"$105,800,000 "
2017,Joseph (Rusty) Walter III and Paula Walter,Texas,Oil,Houston Methodist Hospital,Texas,Health,Gift,"$101,000,000 "
2017,Peter H. and Paula Lunder,Maine,Manufacturing,"Colby College Museum of Art (Waterville, Me.)",Maine,Colleges and universities,Noncash,"$100,000,000 "
2017,John A. and Susan Sobrato,California,Real estate,Santa Clara U. (Calif.),California,Colleges and universities,Gift,"$100,000,000 "
2017,Charles Butt,Texas,Food and beverage,Holdsworth Center (San Antonio),Texas,Education,Gift,"$100,000,000 "
2017,Kenneth and Pamela Ricci,Ohio,Transportation,U. of Notre Dame (Ind.),Indiana,Colleges and universities,UnrestrictedPledge,"$100,000,000 "
2017,Agnes Gund,New York,Family wealth,Art For Justice Fund (New York),New York,Human and social services,Gift,"$100,000,000 "
2017,Craig and Janet Duchossois,Illinois,Defense contracting,U. of Chicago Medicine,Illinois,Health,Pledge,"$100,000,000 "
2017,Sheryl Sandberg,California,Technology,"Sheryl Sandberg Philanthropy Fund (Menlo Park, Calif.)",California,Foundations,Gift,"$97,999,000 "
2017,Paul F. and Virginia J. Engler Foundation (Paul Engler),Texas,Agriculture,West Texas A&M U. (Canyon),Texas,Colleges and universities,Pledge,"$80,000,000 "
2017,Herbert and Florence Irving,New York,Food and beverage,Metropolitan Museum of Art (New York),New York,Arts,Gift,"$80,000,000 "
2017,Richard and Amy Wallman,Florida,Manufacturing,U. of Chicago,Illinois,Colleges and universities,Gift,"$75,000,000 "
2017,Anonymous,,,"Kenyon College (Gambier, Ohio)",Ohio,Colleges and universities,Gift,"$75,000,000 "
2017,Bloomberg Philanthropies (Michael Bloomberg),New York,Media and entertainment,The Shed (New York),New York,Arts,Gift,"$75,000,000 "
2017,Taner Halicioglu,,Technology,U. of California at San Diego,California,Colleges and universities,,"$75,000,000 "
2017,Porter Byrum,North Carolina,Law,"Wake Forest U. (Winston-Salem, N.C.)",North Carolina,Colleges and universities,BequestEstimated,"$70,000,000 "
2017,Don and Barbara Hrbek Zucker,New York,Real estate,"Northwell Health (Manhasset, N.Y.)",New York,Colleges and universities,Gift,"$61,000,000 "
2017,Ed Babka,Iowa,Media and entertainment,U. of Dubuque (Iowa),Iowa,Colleges and universities,Bequest,"$60,000,000 "
2017,Allen Davis,California,Manufacturing,California Institute of Technology (Pasadena),California,Colleges and universities,Bequest,"$60,000,000 "
2017,Ballmer Group (Steve and Connie Ballmer),Washington,Technology,StriveTogether (Cincinnati),Ohio,Education,Pledge,"$60,000,000 "
2017,Gordon and Betty Moore,California,Technology,Lucile Packard Children's Hospital Stanford (Calif.),California,Health,Gift,"$50,000,000 "
2017,Harry and Linda Fath,Ohio,Real estate,"Lindner Center of Hope (Mason, Ohio)",Ohio,Health,PledgeChallenge,"$50,000,000 "
2017,Austin McChord,Connecticut,Technology,Rochester Institute of Technology (N.Y.),New York,Colleges and universities,Gift,"$50,000,000 "
2017,Michael and Alison Grott Bonney,Massachusetts,Pharmaceuticals,"Bates College (Lewiston, Me.)",Maine,Colleges and universities,Gift,"$50,000,000 "
2017,John and Marree Townsend,New York,Finance,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,Gift,"$50,000,000 "
2017,Anonymous,,,U. of Oregon (Eugene),Oregon,Colleges and universities,GiftUnrestricted,"$50,000,000 "
2017,David Booth,Texas,Finance,U. of Kansas (Lawrence),Kansas,Colleges and universities,Pledge,"$50,000,000 "
2017,Q. William Hammack Jr.,Georgia,Construction,Oglethorpe U. (Atlanta),Georgia,Colleges and universities,Gift,"$50,000,000 "
2017,Haim and Cheryl Saban,California,Entertainment,"Academy Museum of Motion Pictures (Beverly Hills, Calif.)",California,Arts,Gift,"$50,000,000 "
